"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0,0.00951793651131258,0.0268836519718064,0.130375323484021,0,0,0.130375323484021,0,0,0,0.00951793651131258,0.0268836519718064
0,0,0,0,0,0.284508186401844,0.228345784242127,0,0,0,0.251350316428734,0.284508186401844
0.0309598209914658,0,0,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0,0,0,0.00831483378677891,0.0447959310935146
0.128983088485524,0,0.105981434359715,0,0.00176657422080456,0,0,0.00176657422080456,0,0,0.00176657422080456,0.105981434359715
0.00951793651131258,0,0.130375323484021,0.00951793651131258,0,0.130375323484021,0,0.0268836519718064,0,0,0.0268836519718064,0.130375323484021
0,0.284508186401844,0.228345784242127,0.251350316428734,0,0.228345784242127,0,0.284508186401844,0,0,0.284508186401844,0.228345784242127
0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0.0309598209914658,0,0.0447959310935146,0,0,0.0447959310935146,0.0309598209914658
0.00176657422080456,0.105981434359715,0,0,0.105981434359715,0.128983088485524,0,0.105981434359715,0,0,0.105981434359715,0.128983088485524
0.0268836519718064,0,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0,0.130375323484021,0,0,0.130375323484021,0.00951793651131258
0,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734,0,0.228345784242127,0,0,0.228345784242127,0.251350316428734
0.0447959310935146,0,0,0,0,0,0.0447959310935146,0.0309598209914658,0,0,0.0309598209914658,0.00831483378677891
0,0.128983088485524,0.00176657422080456,0,0,0,0.105981434359715,0.128983088485524,0,0,0.128983088485524,0.00176657422080456
0.130375323484021,0,0,0.130375323484021,0,0,0.130375323484021,0.00951793651131258,0,0,0.00951793651131258,0.0268836519718064
0.228345784242127,0,0,0.228345784242127,0.251350316428734,0,0.228345784242127,0.251350316428734,0,0,0.251350316428734,0.284508186401844
0,0.00831483378677891,0,0,0,0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0,0.00831483378677891,0.0447959310935146
0.128983088485524,0,0.105981434359715,0,0,0.105981434359715,0.128983088485524,0.00176657422080456,0,0,0.00176657422080456,0.105981434359715
0,0,0,0,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064,0,0,0.0268836519718064,0.130375323484021
0.251350316428734,0,0.228345784242127,0,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844,0,0,0.284508186401844,0.228345784242127
0.00831483378677891,0.0447959310935146,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0.0447959310935146,0,0,0.0447959310935146,0.0309598209914658
0.00176657422080456,0,0,0.00176657422080456,0.105981434359715,0.128983088485524,0,0,0.128983088485524,0,0.105981434359715,0.128983088485524
0,0,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258,0,0,0.00951793651131258,0,0.130375323484021,0.00951793651131258
0.284508186401844,0,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734,0,0,0.251350316428734,0,0.228345784242127,0.251350316428734
0,0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0,0.00831483378677891,0,0.0309598209914658,0.00831483378677891
0.105981434359715,0.128983088485524,0,0,0,0.00176657422080456,0.105981434359715,0,0.00176657422080456,0,0.128983088485524,0.00176657422080456
0.130375323484021,0,0.0268836519718064,0,0,0.0268836519718064,0.130375323484021,0,0.0268836519718064,0,0.00951793651131258,0.0268836519718064
0,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127,0,0.284508186401844,0,0.251350316428734,0.284508186401844
0,0,0,0,0,0,0,0.00831483378677891,0.0447959310935146,0,0.00831483378677891,0.0447959310935146
0,0,0.105981434359715,0,0,0,0,0.00176657422080456,0.105981434359715,0,0.00176657422080456,0.105981434359715
0.00951793651131258,0,0.130375323484021,0,0,0,0,0.0268836519718064,0.130375323484021,0,0.0268836519718064,0.130375323484021
0,0.284508186401844,0.228345784242127,0,0,0,0,0.284508186401844,0.228345784242127,0,0.284508186401844,0.228345784242127
0.00831483378677891,0,0,0,0.0447959310935146,0,0,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0.0309598209914658
0.00176657422080456,0.105981434359715,0,0.00176657422080456,0.105981434359715,0.128983088485524,0,0.105981434359715,0.128983088485524,0,0.105981434359715,0.128983088485524
0.0268836519718064,0,0,0,0,0,0.0268836519718064,0.130375323484021,0.00951793651131258,0,0.130375323484021,0.00951793651131258
0,0.228345784242127,0.251350316428734,0,0,0,0.284508186401844,0.228345784242127,0.251350316428734,0,0.228345784242127,0.251350316428734
0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0,0,0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0.0309598209914658,0.00831483378677891
0.105981434359715,0.128983088485524,0,0.105981434359715,0.128983088485524,0,0.105981434359715,0.128983088485524,0.00176657422080456,0,0.128983088485524,0.00176657422080456
0,0,0.0268836519718064,0.130375323484021,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0.0268836519718064,0,0.00951793651131258,0.0268836519718064
0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127,0,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844,0,0.251350316428734,0.284508186401844
0.0309598209914658,0.00831483378677891,0,0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0.0447959310935146,0,0.00831483378677891,0.0447959310935146
0,0,0,0,0,0.105981434359715,0,0,0,0.128983088485524,0.00176657422080456,0.105981434359715
0.00951793651131258,0,0.130375323484021,0,0,0.130375323484021,0,0,0,0.00951793651131258,0.0268836519718064,0.130375323484021
0,0,0,0,0.284508186401844,0.228345784242127,0,0,0,0.251350316428734,0.284508186401844,0.228345784242127
0,0,0,0.00831483378677891,0,0,0.00831483378677891,0,0,0.00831483378677891,0.0447959310935146,0.0309598209914658
0,0,0,0,0.105981434359715,0,0.00176657422080456,0,0,0.00176657422080456,0.105981434359715,0.128983088485524
0.0268836519718064,0.130375323484021,0.00951793651131258,0,0.130375323484021,0,0.0268836519718064,0,0,0.0268836519718064,0.130375323484021,0.00951793651131258
0,0,0.251350316428734,0.284508186401844,0,0.251350316428734,0.284508186401844,0,0,0.284508186401844,0.228345784242127,0.251350316428734
0,0,0.00831483378677891,0,0.0309598209914658,0.00831483378677891,0.0447959310935146,0,0,0.0447959310935146,0.0309598209914658,0.00831483378677891
0.105981434359715,0,0.00176657422080456,0,0.128983088485524,0.00176657422080456,0.105981434359715,0,0,0.105981434359715,0.128983088485524,0.00176657422080456
0.130375323484021,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021,0,0,0.130375323484021,0.00951793651131258,0.0268836519718064
0.228345784242127,0.251350316428734,0,0,0,0,0,0.251350316428734,0,0.228345784242127,0.251350316428734,0.284508186401844
0.0309598209914658,0,0.0447959310935146,0.0309598209914658,0,0,0,0.00831483378677891,0,0.0309598209914658,0.00831483378677891,0.0447959310935146
0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456,0,0,0.00176657422080456,0,0.128983088485524,0.00176657422080456,0.105981434359715
0.00951793651131258,0,0,0,0,0.130375323484021,0,0.0268836519718064,0,0.00951793651131258,0.0268836519718064,0.130375323484021
0,0.284508186401844,0,0,0,0.228345784242127,0,0.284508186401844,0,0.251350316428734,0.284508186401844,0.228345784242127
0,0,0.0309598209914658,0,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0,0.00831483378677891,0.0447959310935146,0.0309598209914658
0.00176657422080456,0,0.128983088485524,0.00176657422080456,0.105981434359715,0.128983088485524,0,0.105981434359715,0,0.00176657422080456,0.105981434359715,0.128983088485524
0,0,0,0,0,0,0.0268836519718064,0.130375323484021,0,0.0268836519718064,0.130375323484021,0.00951793651131258
0.284508186401844,0,0,0,0,0,0.284508186401844,0.228345784242127,0,0.284508186401844,0.228345784242127,0.251350316428734
0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0,0,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0.0309598209914658,0.00831483378677891
0,0.128983088485524,0.00176657422080456,0.105981434359715,0,0,0.105981434359715,0.128983088485524,0,0.105981434359715,0.128983088485524,0.00176657422080456
0,0,0,0,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0.0268836519718064
0,0,0.284508186401844,0.228345784242127,0.251350316428734,0,0.228345784242127,0.251350316428734,0,0.228345784242127,0.251350316428734,0.284508186401844
0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0.0309598209914658,0.00831483378677891,0,0.0309598209914658,0.00831483378677891,0.0447959310935146
0.128983088485524,0.00176657422080456,0.105981434359715,0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456,0,0.128983088485524,0.00176657422080456,0.105981434359715
0,0,0.130375323484021,0,0,0,0,0,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021
0.251350316428734,0,0.228345784242127,0.251350316428734,0,0,0,0,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127
0.00831483378677891,0,0,0.00831483378677891,0.0447959310935146,0,0,0,0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658
0.00176657422080456,0,0,0,0.105981434359715,0.128983088485524,0,0,0.128983088485524,0.00176657422080456,0.105981434359715,0.128983088485524
0,0,0.00951793651131258,0,0.130375323484021,0.00951793651131258,0,0,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258
0,0.228345784242127,0.251350316428734,0,0.228345784242127,0.251350316428734,0,0,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734
0,0,0,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891
0,0.128983088485524,0,0,0,0.00176657422080456,0.105981434359715,0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456
0.130375323484021,0.00951793651131258,0.0268836519718064,0,0.00951793651131258,0.0268836519718064,0.130375323484021,0,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064
0,0.251350316428734,0,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127,0,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844
0,0.00831483378677891,0,0,0,0,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0.0447959310935146
0.128983088485524,0,0.105981434359715,0,0,0,0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456,0.105981434359715
0,0.0268836519718064,0.130375323484021,0,0,0.130375323484021,0,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021
0.251350316428734,0.284508186401844,0.228345784242127,0,0,0.228345784242127,0,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127
0,0,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0,0.0447959310935146,0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658
0.00176657422080456,0.105981434359715,0.128983088485524,0,0,0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456,0.105981434359715,0.128983088485524
0,0,0.00951793651131258,0,0,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258
0.284508186401844,0,0.251350316428734,0,0,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734,0.284508186401844,0.228345784242127,0.251350316428734
0,0.0309598209914658,0.00831483378677891,0,0,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891,0.0447959310935146,0.0309598209914658,0.00831483378677891
0.105981434359715,0.128983088485524,0,0.105981434359715,0,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456,0.105981434359715,0.128983088485524,0.00176657422080456
0,0,0,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064,0.130375323484021,0.00951793651131258,0.0268836519718064
