"BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome"
0.241654045908225,0,0.593130119618267,0,0.0558843473900402,0,0,0.0558843473900402,0,0,0,0
0,0,0.150164432498521,0.386870394376265,0.241654045908225,0,0,0.150164432498521,0,0,0,0
0.386870394376265,0,0,0.475414555696162,0,0.150164432498521,0,0,0,0,0,0
0.386870394376265,0,0.150164432498521,0.386870394376265,0,0.150164432498521,0,0,0,0,0,0
0.386870394376265,0,0.475414555696162,0,0.0558843473900402,0.150164432498521,0,0,0,0,0,0
0,0,0.475414555696162,0,0.0558843473900402,0.241654045908225,0,0.150164432498521,0,0,0,0
0.386870394376265,0,0.475414555696162,0,0.0558843473900402,0.150164432498521,0,0,0,0,0,0
0.320300923428414,0,0,0.386870394376265,0.320300923428414,0,0,0,0,0,0,0
0.241654045908225,0,0.386870394376265,0,0,0,0.241654045908225,0,0,0,0,0
0,0,0,0.593130119618267,0,0,0.386870394376265,0,0,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0,0,0,0,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0.386870394376265,0,0,0,0.241654045908225,0.241654045908225,0,0,0,0,0
0,0,0.386870394376265,0,0,0.241654045908225,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.475414555696162,0,0,0,0,0,0,0,0.150164432498521,0,0.0558843473900402,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0.0558843473900402,0,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.475414555696162,0,0,0,0,0,0,0,0.150164432498521,0,0.0558843473900402,0
0.593130119618267,0.386870394376265,0,0,0,0,0,0,0.475414555696162,0,0,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0,0,0,0,0.593130119618267,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0.0558843473900402,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0,0,0,0.320300923428414,0.386870394376265,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.386870394376265,0,0,0,0.593130119618267,0,0,0
0,0,0,0.320300923428414,0.386870394376265,0,0,0,0.749614298244218,0,0,0
0.386870394376265,0,0,0,0,0,0.241654045908225,0,0.241654045908225,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0.593130119618267,0,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0.0558843473900402,0.320300923428414,0,0,0,0.320300923428414,0,0.475414555696162,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0,0,0
0,0.593130119618267,0,0,0,0,0,0.0558843473900402,0.593130119618267,0,0.0558843473900402,0
0.593130119618267,0.386870394376265,0,0,0,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0,0,0,0.320300923428414,0.386870394376265,0,0,0,0.749614298244218,0,0,0
0,0,0,0,0,0.150164432498521,0,0.150164432498521,0.150164432498521,0,0.0558843473900402,0
0,0.593130119618267,0,0,0,0,0,0.0558843473900402,0.593130119618267,0,0.0558843473900402,0
0.593130119618267,0.386870394376265,0,0,0,0,0,0,0.475414555696162,0,0,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0,0.150164432498521,0,0,0.475414555696162,0,0,0,0.593130119618267,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.386870394376265,0,0,0,0.593130119618267,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0,0,0.0558843473900402,0.386870394376265,0,0.150164432498521,0,0.0558843473900402,0
0.593130119618267,0,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0.593130119618267,0,0,0,0,0,0,0,0.150164432498521,0.0558843473900402,0
0,0,0,0.593130119618267,0,0,0,0,0,0.150164432498521,0,0
0,0,0.241654045908225,0.475414555696162,0,0,0,0,0,0,0,0
0.241654045908225,0,0.241654045908225,0.475414555696162,0,0,0,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0,0,0,0,0,0
0,0.320300923428414,0,0,0.475414555696162,0,0,0,0,0.150164432498521,0,0
0.320300923428414,0.150164432498521,0,0,0.475414555696162,0,0,0,0,0,0,0
0.320300923428414,0,0,0.386870394376265,0.320300923428414,0,0,0,0,0.0558843473900402,0,0
0,0.593130119618267,0,0,0,0.320300923428414,0,0,0,0.150164432498521,0,0
0.386870394376265,0,0.475414555696162,0,0,0.150164432498521,0,0,0,0,0,0
0,0,0,0.593130119618267,0,0.320300923428414,0,0,0,0.150164432498521,0,0
0,0,0.241654045908225,0.386870394376265,0,0.320300923428414,0,0,0,0.0558843473900402,0,0
0,0,0,0,0.749614298244218,0,0,0,0,0.150164432498521,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0,0,0,0,0,0
0,0,0,0.475414555696162,0.320300923428414,0.0558843473900402,0,0,0,0.150164432498521,0,0
0.241654045908225,0,0.386870394376265,0,0,0,0.241654045908225,0,0,0,0,0
0,0,0.475414555696162,0,0,0,0.320300923428414,0,0,0,0,0
0.241654045908225,0,0.386870394376265,0,0,0,0.241654045908225,0,0,0,0,0
0.241654045908225,0,0,0.593130119618267,0,0,0.320300923428414,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0,0,0,0.0558843473900402,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0.320300923428414,0,0,0.0558843473900402,0.241654045908225,0,0,0,0,0
0,0,0.386870394376265,0,0,0.241654045908225,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0.0558843473900402,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0,0,0,0,0,0,0,0.320300923428414,0,0.150164432498521,0.241654045908225,0
0,0,0.593130119618267,0,0,0,0,0.150164432498521,0,0,0,0
0.241654045908225,0,0,0.593130119618267,0,0,0,0.0558843473900402,0,0.0558843473900402,0,0
0.241654045908225,0,0.241654045908225,0.386870394376265,0,0,0,0.0558843473900402,0,0,0,0
0.241654045908225,0,0.241654045908225,0.386870394376265,0,0,0,0.0558843473900402,0,0,0,0
0.320300923428414,0.150164432498521,0,0,0.475414555696162,0,0,0,0,0,0,0
0.241654045908225,0,0.593130119618267,0,0.0558843473900402,0,0,0.0558843473900402,0,0,0,0
0.320300923428414,0,0,0.386870394376265,0.320300923428414,0,0,0,0,0.0558843473900402,0,0
0.320300923428414,0,0.0558843473900402,0.386870394376265,0.241654045908225,0,0,0,0,0,0,0
0,0.475414555696162,0,0,0,0.320300923428414,0,0.150164432498521,0,0.150164432498521,0,0
0.386870394376265,0,0.475414555696162,0,0,0.150164432498521,0,0,0,0,0,0
0,0,0.241654045908225,0.386870394376265,0,0.320300923428414,0,0.150164432498521,0,0.0558843473900402,0,0
0,0.241654045908225,0,0,0.475414555696162,0,0,0.150164432498521,0,0.150164432498521,0,0
0.386870394376265,0,0.475414555696162,0,0.0558843473900402,0.150164432498521,0,0,0,0,0,0
0,0,0.475414555696162,0,0.0558843473900402,0.241654045908225,0,0.150164432498521,0,0,0,0
0.320300923428414,0,0.0558843473900402,0.386870394376265,0.241654045908225,0,0,0,0,0,0,0
0.241654045908225,0,0,0,0,0,0.241654045908225,0,0,0,0.0558843473900402,0
0,0.475414555696162,0,0,0,0,0.241654045908225,0,0,0.0558843473900402,0.0558843473900402,0
0,0,0,0.593130119618267,0,0,0.386870394376265,0,0,0.0558843473900402,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0.0558843473900402,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0.0558843473900402,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0.320300923428414,0,0,0,0,0.0558843473900402,0.241654045908225,0,0,0,0,0
0,0,0.386870394376265,0,0,0.241654045908225,0.386870394376265,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.386870394376265,0,0,0.0558843473900402,0,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0,0,0,0,0.593130119618267,0,0,0,0.475414555696162,0.150164432498521,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0,0,0.0558843473900402,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0,0,0.0558843473900402,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0,0.150164432498521,0,0,0.475414555696162,0,0,0,0.593130119618267,0.150164432498521,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0,0,0,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0.749614298244218,0,0,0.0558843473900402,0.386870394376265,0,0,0,0.593130119618267,0,0,0
0,0,0.0558843473900402,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0.593130119618267,0.0558843473900402,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0.0558843473900402,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.386870394376265,0,0,0,0,0,0.241654045908225,0,0.241654045908225,0,0,0
0.593130119618267,0.386870394376265,0,0,0,0,0.0558843473900402,0,0.475414555696162,0,0,0
0,0,0.320300923428414,0,0,0,0.320300923428414,0,0.475414555696162,0,0,0
0.593130119618267,0.0558843473900402,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0,0.593130119618267,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0,0,0,0,0.241654045908225,0.150164432498521,0.150164432498521,0.150164432498521,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0.0558843473900402,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.386870394376265,0,0,0,0.593130119618267,0,0,0
0,0,0,0,0,0.150164432498521,0,0.150164432498521,0.150164432498521,0.150164432498521,0.0558843473900402,0
0.593130119618267,0.386870394376265,0,0,0,0,0,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0,0,0,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0.749614298244218,0,0,0.0558843473900402,0.386870394376265,0,0,0,0.593130119618267,0,0,0
0,0,0.0558843473900402,0.241654045908225,0.386870394376265,0,0,0,0.749614298244218,0.150164432498521,0,0
0.386870394376265,0,0,0,0,0,0.241654045908225,0,0.241654045908225,0,0,0
0,0,0.320300923428414,0,0,0,0.320300923428414,0,0.475414555696162,0,0,0
0.593130119618267,0.0558843473900402,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0,0,0,0,0,0.0558843473900402,0.386870394376265,0,0.150164432498521,0.0558843473900402,0.0558843473900402,0
0.386870394376265,0,0,0,0,0,0.241654045908225,0,0.241654045908225,0,0,0
0.593130119618267,0,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.593130119618267,0.0558843473900402,0.241654045908225,0,0,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0.749614298244218,0,0,0,0.475414555696162,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0.0558843473900402,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.386870394376265
0.241654045908225,0,0,0.593130119618267,0,0,0,0,0,0,0,0.150164432498521
0,0,0.241654045908225,0.320300923428414,0,0,0,0,0,0,0,0.386870394376265
0,0,0,0,0.593130119618267,0,0,0,0,0,0,0.386870394376265
0.320300923428414,0.150164432498521,0,0,0.475414555696162,0,0,0,0,0,0,0.0558843473900402
0,0,0.593130119618267,0,0,0,0,0,0,0,0,0.386870394376265
0.320300923428414,0,0,0.320300923428414,0.320300923428414,0,0,0,0,0,0,0.0558843473900402
0,0,0.241654045908225,0.241654045908225,0.0558843473900402,0,0,0,0,0,0,0.386870394376265
0,0,0.241654045908225,0.241654045908225,0.0558843473900402,0,0,0,0,0,0,0.386870394376265
0,0.475414555696162,0,0,0,0.150164432498521,0,0,0,0,0,0.241654045908225
0,0,0.593130119618267,0,0,0.150164432498521,0,0,0,0,0,0.241654045908225
0,0,0,0.593130119618267,0,0.150164432498521,0,0,0,0,0,0.241654045908225
0.386870394376265,0,0.150164432498521,0.386870394376265,0,0.150164432498521,0,0,0,0,0,0
0,0,0,0.320300923428414,0.320300923428414,0,0,0,0,0,0,0.386870394376265
0,0,0,0.320300923428414,0.320300923428414,0,0,0,0,0,0,0.386870394376265
0.320300923428414,0,0.0558843473900402,0.320300923428414,0.241654045908225,0,0,0,0,0,0,0.150164432498521
0,0,0,0,0,0,0.320300923428414,0,0,0,0,0
0.241654045908225,0.475414555696162,0,0,0,0,0.0558843473900402,0,0,0,0,0.0558843473900402
0.241654045908225,0,0.386870394376265,0,0,0,0.241654045908225,0,0,0,0,0
0,0,0,0.593130119618267,0,0,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0,0.386870394376265,0,0,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0,0,0.0558843473900402
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0.386870394376265,0,0,0,0.241654045908225,0.241654045908225,0,0,0,0,0
0,0,0.386870394376265,0,0,0.241654045908225,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0,0,0,0.0558843473900402
0.386870394376265,0,0,0,0.593130119618267,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.241654045908225,0,0.593130119618267,0,0,0,0,0,0,0,0,0.150164432498521
0,0,0,0.593130119618267,0,0,0,0,0,0,0,0.386870394376265
0,0,0.241654045908225,0.320300923428414,0,0,0,0,0,0,0,0.386870394376265
0.241654045908225,0,0.241654045908225,0.386870394376265,0,0,0,0,0,0,0,0.150164432498521
0.386870394376265,0,0,0,0.593130119618267,0,0,0,0,0,0,0.0558843473900402
0,0.150164432498521,0,0,0.475414555696162,0,0,0,0,0,0,0.386870394376265
0.320300923428414,0.150164432498521,0,0,0.475414555696162,0,0,0,0,0,0,0.0558843473900402
0,0,0.593130119618267,0,0,0,0,0,0,0,0,0.386870394376265
0,0,0.593130119618267,0,0.0558843473900402,0,0,0,0,0,0,0.386870394376265
0,0,0.241654045908225,0.241654045908225,0.0558843473900402,0,0,0,0,0,0,0.386870394376265
0.386870394376265,0,0,0,0,0.150164432498521,0,0,0,0,0,0
0.386870394376265,0,0,0,0.593130119618267,0,0,0,0,0,0,0.0558843473900402
0.386870394376265,0,0.475414555696162,0,0.0558843473900402,0.150164432498521,0,0,0,0,0,0
0,0,0,0.320300923428414,0.320300923428414,0,0,0,0,0,0,0.386870394376265
0.320300923428414,0,0,0.320300923428414,0.320300923428414,0,0,0,0,0,0,0.0558843473900402
0,0,0.241654045908225,0.241654045908225,0.0558843473900402,0,0,0,0,0,0,0.386870394376265
0,0,0,0,0,0,0.320300923428414,0,0,0,0,0
0.241654045908225,0.475414555696162,0,0,0,0,0.0558843473900402,0,0,0,0,0.0558843473900402
0.241654045908225,0,0.386870394376265,0,0,0,0.241654045908225,0,0,0,0,0
0,0,0.475414555696162,0,0,0,0.320300923428414,0,0,0,0,0.0558843473900402
0.241654045908225,0,0,0.593130119618267,0,0,0.320300923428414,0,0,0,0,0
0,0,0,0.593130119618267,0,0,0.386870394376265,0,0,0,0,0
0.241654045908225,0,0,0.593130119618267,0,0,0.320300923428414,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.320300923428414,0,0,0.241654045908225,0.475414555696162,0,0.241654045908225,0,0,0,0,0
0,0,0,0,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0.320300923428414,0,0,0,0,0.0558843473900402,0.241654045908225,0,0,0,0,0
0,0.386870394376265,0,0,0,0.241654045908225,0.241654045908225,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0.320300923428414,0,0,0.475414555696162,0,0.0558843473900402,0.320300923428414,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0.320300923428414,0,0,0.475414555696162,0,0.0558843473900402,0.320300923428414,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0,0,0.593130119618267,0,0.150164432498521,0.386870394376265,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0,0,0,0.241654045908225,0.475414555696162,0,0.320300923428414,0,0,0,0,0
0.749614298244218,0,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0,0,0,0,0,0.0558843473900402,0,0,0.150164432498521,0,0,0.0558843473900402
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0,0,0.475414555696162,0,0.150164432498521,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.0558843473900402,0,0.475414555696162,0,0,0,0.475414555696162,0,0,0
0.386870394376265,0,0,0,0,0,0.241654045908225,0,0.241654045908225,0,0,0
0.749614298244218,0,0,0,0.593130119618267,0,0.150164432498521,0,0.475414555696162,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.0558843473900402,0.475414555696162,0,0.150164432498521,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.320300923428414,0,0,0.150164432498521,0,0.749614298244218,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0,0.749614298244218,0,0.320300923428414,0,0.593130119618267,0,0,0
0,0,0,0.150164432498521,0.593130119618267,0,0.320300923428414,0,0.749614298244218,0,0,0
0,0,0.593130119618267,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0.0558843473900402,0.386870394376265,0,0,0,0,0,0.593130119618267,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
0.749614298244218,0,0,0.386870394376265,0,0,0,0,0.749614298244218,0,0,0
